step: 0000, t: 0, cfl: 0.00, E: 0.000000, Z: 0.0000, W: 0.000000, walltime: 0.01 min
step: 0100, t: 0, cfl: 0.03, E: 0.251038, Z: 7.1619, W: 5.648928, walltime: 0.06 min
step: 0200, t: 0, cfl: 0.04, E: 0.418712, Z: 12.2848, W: 9.589626, walltime: 0.06 min
step: 0300, t: 0, cfl: 0.04, E: 0.713134, Z: 20.7966, W: 14.720660, walltime: 0.06 min
step: 0400, t: 0, cfl: 0.06, E: 0.959650, Z: 28.4285, W: -24.750901, walltime: 0.06 min
step: 0500, t: 0, cfl: 0.06, E: 1.283462, Z: 37.9138, W: -25.493368, walltime: 0.06 min
step: 0600, t: 0, cfl: 0.07, E: 1.628647, Z: 47.0190, W: -86.271498, walltime: 0.07 min
step: 0700, t: 0, cfl: 0.07, E: 1.934156, Z: 56.3102, W: 39.643763, walltime: 0.07 min
step: 0800, t: 0, cfl: 0.07, E: 2.110629, Z: 62.4662, W: 54.298800, walltime: 0.07 min
step: 0900, t: 0, cfl: 0.07, E: 2.259972, Z: 66.4217, W: -53.110730, walltime: 0.07 min
step: 1000, t: 0, cfl: 0.07, E: 2.666556, Z: 77.6858, W: -57.341468, walltime: 0.07 min
step: 1100, t: 0, cfl: 0.08, E: 2.886371, Z: 81.6825, W: 57.873718, walltime: 0.08 min
step: 1200, t: 0, cfl: 0.09, E: 2.956446, Z: 83.9584, W: 99.686076, walltime: 0.08 min
step: 1300, t: 0, cfl: 0.09, E: 2.931970, Z: 83.0385, W: 31.630252, walltime: 0.08 min
step: 1400, t: 0, cfl: 0.09, E: 3.227592, Z: 92.3388, W: 14.305692, walltime: 0.08 min
step: 1500, t: 0, cfl: 0.10, E: 3.303748, Z: 93.8292, W: 28.450388, walltime: 0.08 min
step: 1600, t: 0, cfl: 0.11, E: 3.453040, Z: 97.8780, W: -0.830398, walltime: 0.08 min
step: 1700, t: 0, cfl: 0.10, E: 3.642371, Z: 103.3013, W: -77.574446, walltime: 0.09 min
step: 1800, t: 0, cfl: 0.11, E: 3.541014, Z: 100.6378, W: -76.043466, walltime: 0.09 min
step: 1900, t: 0, cfl: 0.12, E: 3.555088, Z: 98.5065, W: -111.620871, walltime: 0.09 min
step: 2000, t: 0, cfl: 0.11, E: 3.623575, Z: 102.0414, W: -39.944986, walltime: 0.09 min
step: 2100, t: 0, cfl: 0.10, E: 3.579936, Z: 100.7990, W: 172.120461, walltime: 0.09 min
step: 2200, t: 0, cfl: 0.10, E: 3.859337, Z: 109.7098, W: 159.182828, walltime: 0.10 min
step: 2300, t: 0, cfl: 0.11, E: 4.008502, Z: 111.9527, W: -176.822457, walltime: 0.10 min
step: 2400, t: 0, cfl: 0.11, E: 4.216524, Z: 116.2805, W: 71.191920, walltime: 0.10 min
step: 2500, t: 0, cfl: 0.12, E: 4.419282, Z: 121.4563, W: -51.047508, walltime: 0.10 min
step: 2600, t: 1, cfl: 0.11, E: 4.350162, Z: 120.5493, W: 138.855793, walltime: 0.10 min
step: 2700, t: 1, cfl: 0.11, E: 4.243756, Z: 117.2576, W: -82.169179, walltime: 0.10 min
step: 2800, t: 1, cfl: 0.11, E: 4.326539, Z: 120.5076, W: 37.590396, walltime: 0.11 min
step: 2900, t: 1, cfl: 0.10, E: 4.334253, Z: 120.5926, W: -60.206934, walltime: 0.11 min
step: 3000, t: 1, cfl: 0.11, E: 4.587228, Z: 127.8851, W: 152.046775, walltime: 0.11 min
step: 3100, t: 1, cfl: 0.11, E: 4.940709, Z: 138.1674, W: 103.472976, walltime: 0.11 min
step: 3200, t: 1, cfl: 0.11, E: 4.942219, Z: 138.3766, W: -38.492012, walltime: 0.11 min
step: 3300, t: 1, cfl: 0.12, E: 5.148831, Z: 142.5383, W: 27.973013, walltime: 0.11 min
step: 3400, t: 1, cfl: 0.12, E: 5.302710, Z: 145.5549, W: 21.707637, walltime: 0.12 min
step: 3500, t: 1, cfl: 0.12, E: 5.529457, Z: 151.9621, W: -112.544653, walltime: 0.12 min
step: 3600, t: 1, cfl: 0.11, E: 5.559595, Z: 153.5629, W: 65.665590, walltime: 0.12 min
step: 3700, t: 1, cfl: 0.12, E: 6.176028, Z: 168.3178, W: -31.351617, walltime: 0.12 min
