step: 0000, t: 0, cfl: 0.22, E: 18.3025, Z: 193.5425, W: -13.8736, walltime: 0.01 min
step: 0025, t: 0, cfl: 0.22, E: 18.2199, Z: 191.1634, W: -96.4201, walltime: 0.05 min
step: 0050, t: 0, cfl: 0.22, E: 18.2663, Z: 193.2211, W: 83.8643, walltime: 0.05 min
step: 0075, t: 0, cfl: 0.22, E: 18.2792, Z: 193.1124, W: -98.4140, walltime: 0.05 min
step: 0100, t: 0, cfl: 0.22, E: 18.3044, Z: 193.6040, W: 129.6698, walltime: 0.05 min
step: 0125, t: 0, cfl: 0.22, E: 18.3451, Z: 195.3731, W: -40.2810, walltime: 0.05 min
step: 0150, t: 0, cfl: 0.22, E: 18.3301, Z: 196.4572, W: -122.9876, walltime: 0.05 min
step: 0175, t: 0, cfl: 0.22, E: 18.4507, Z: 198.6587, W: 50.4689, walltime: 0.05 min
step: 0200, t: 0, cfl: 0.22, E: 18.3476, Z: 196.8086, W: 27.7461, walltime: 0.05 min
step: 0225, t: 0, cfl: 0.22, E: 18.2769, Z: 195.2079, W: 123.0500, walltime: 0.05 min
step: 0250, t: 0, cfl: 0.22, E: 18.3952, Z: 199.1534, W: 219.4013, walltime: 0.05 min
step: 0275, t: 0, cfl: 0.22, E: 18.4013, Z: 199.6069, W: 120.9292, walltime: 0.05 min
step: 0300, t: 0, cfl: 0.22, E: 18.3367, Z: 198.1639, W: -14.0147, walltime: 0.06 min
step: 0325, t: 0, cfl: 0.22, E: 18.4221, Z: 201.6855, W: -16.7969, walltime: 0.06 min
step: 0350, t: 0, cfl: 0.22, E: 18.3748, Z: 200.4990, W: 58.6700, walltime: 0.06 min
step: 0375, t: 0, cfl: 0.21, E: 18.4067, Z: 200.0054, W: 43.1971, walltime: 0.06 min
step: 0400, t: 0, cfl: 0.21, E: 18.3972, Z: 199.4417, W: 31.9855, walltime: 0.06 min
step: 0425, t: 0, cfl: 0.21, E: 18.3574, Z: 198.4290, W: 95.5728, walltime: 0.06 min
step: 0450, t: 0, cfl: 0.21, E: 18.4345, Z: 201.3103, W: 33.2848, walltime: 0.06 min
step: 0475, t: 0, cfl: 0.20, E: 18.3779, Z: 200.3974, W: -39.5015, walltime: 0.06 min
step: 0500, t: 0, cfl: 0.21, E: 18.4349, Z: 202.3168, W: -76.6276, walltime: 0.06 min
step: 0525, t: 0, cfl: 0.21, E: 18.3796, Z: 200.2370, W: 10.2811, walltime: 0.06 min
step: 0550, t: 0, cfl: 0.20, E: 18.2880, Z: 199.0806, W: 70.6576, walltime: 0.06 min
step: 0575, t: 0, cfl: 0.20, E: 18.2967, Z: 198.7317, W: -52.7069, walltime: 0.06 min
step: 0600, t: 0, cfl: 0.20, E: 18.3397, Z: 200.7010, W: 30.2150, walltime: 0.06 min
step: 0625, t: 0, cfl: 0.21, E: 18.3397, Z: 199.9254, W: -20.1494, walltime: 0.06 min
step: 0650, t: 0, cfl: 0.21, E: 18.2815, Z: 198.6401, W: -154.9480, walltime: 0.06 min
step: 0675, t: 0, cfl: 0.22, E: 18.2469, Z: 197.1823, W: 8.4408, walltime: 0.06 min
step: 0700, t: 0, cfl: 0.23, E: 18.2698, Z: 198.0564, W: 28.8033, walltime: 0.06 min
step: 0725, t: 0, cfl: 0.23, E: 18.3413, Z: 199.1280, W: 33.9175, walltime: 0.06 min
step: 0750, t: 0, cfl: 0.24, E: 18.4309, Z: 202.8627, W: 8.9547, walltime: 0.06 min
step: 0775, t: 0, cfl: 0.24, E: 18.4782, Z: 204.4661, W: 56.4240, walltime: 0.07 min
step: 0800, t: 0, cfl: 0.24, E: 18.5303, Z: 203.9633, W: 88.5606, walltime: 0.07 min
step: 0825, t: 0, cfl: 0.24, E: 18.5040, Z: 204.5809, W: -97.7131, walltime: 0.07 min
step: 0850, t: 0, cfl: 0.26, E: 18.5077, Z: 204.5321, W: 59.7573, walltime: 0.07 min
step: 0875, t: 0, cfl: 0.26, E: 18.4136, Z: 201.5830, W: -30.2529, walltime: 0.07 min
step: 0900, t: 0, cfl: 0.26, E: 18.3591, Z: 200.6444, W: 124.4140, walltime: 0.07 min
step: 0925, t: 0, cfl: 0.26, E: 18.3096, Z: 198.5342, W: 42.3058, walltime: 0.07 min
step: 0950, t: 0, cfl: 0.25, E: 18.3672, Z: 199.3993, W: 60.7064, walltime: 0.07 min
step: 0975, t: 0, cfl: 0.26, E: 18.3156, Z: 198.8260, W: 6.7909, walltime: 0.07 min
step: 1000, t: 0, cfl: 0.26, E: 18.3820, Z: 200.5592, W: 36.1666, walltime: 0.07 min
step: 1025, t: 0, cfl: 0.26, E: 18.4144, Z: 201.8347, W: 88.6474, walltime: 0.07 min
step: 1050, t: 0, cfl: 0.27, E: 18.5535, Z: 205.3267, W: 164.1842, walltime: 0.07 min
step: 1075, t: 0, cfl: 0.27, E: 18.4671, Z: 203.4120, W: -131.7786, walltime: 0.07 min
step: 1100, t: 0, cfl: 0.27, E: 18.4005, Z: 200.6665, W: -86.5356, walltime: 0.07 min
step: 1125, t: 0, cfl: 0.27, E: 18.4093, Z: 202.1819, W: 74.0508, walltime: 0.07 min
step: 1150, t: 0, cfl: 0.27, E: 18.3880, Z: 201.4550, W: -86.4152, walltime: 0.07 min
step: 1175, t: 0, cfl: 0.26, E: 18.4665, Z: 202.6325, W: -48.0435, walltime: 0.07 min
step: 1200, t: 0, cfl: 0.27, E: 18.5823, Z: 204.3653, W: 50.4619, walltime: 0.07 min
step: 1225, t: 0, cfl: 0.27, E: 18.7505, Z: 206.1193, W: -129.4531, walltime: 0.07 min
step: 1250, t: 0, cfl: 0.26, E: 18.6657, Z: 204.1556, W: 57.8749, walltime: 0.08 min
step: 1275, t: 0, cfl: 0.26, E: 18.5797, Z: 201.7199, W: 3.8260, walltime: 0.08 min
step: 1300, t: 0, cfl: 0.26, E: 18.5961, Z: 202.1293, W: -46.4334, walltime: 0.08 min
step: 1325, t: 0, cfl: 0.26, E: 18.5575, Z: 201.8477, W: -155.7110, walltime: 0.08 min
step: 1350, t: 0, cfl: 0.26, E: 18.5688, Z: 201.8049, W: -79.9259, walltime: 0.08 min
step: 1375, t: 0, cfl: 0.26, E: 18.6091, Z: 203.0148, W: 54.1610, walltime: 0.08 min
step: 1400, t: 0, cfl: 0.25, E: 18.7472, Z: 205.6875, W: -151.0723, walltime: 0.08 min
step: 1425, t: 0, cfl: 0.25, E: 18.6557, Z: 203.0617, W: 31.6412, walltime: 0.08 min
step: 1450, t: 0, cfl: 0.25, E: 18.5950, Z: 202.1034, W: 96.1383, walltime: 0.08 min
step: 1475, t: 0, cfl: 0.26, E: 18.6334, Z: 203.0664, W: -87.9616, walltime: 0.08 min
step: 1500, t: 0, cfl: 0.26, E: 18.6160, Z: 202.8068, W: -33.3311, walltime: 0.08 min
step: 1525, t: 0, cfl: 0.26, E: 18.6086, Z: 201.1106, W: 114.0586, walltime: 0.08 min
step: 1550, t: 0, cfl: 0.26, E: 18.5689, Z: 201.3212, W: 6.2813, walltime: 0.08 min
step: 1575, t: 0, cfl: 0.26, E: 18.6340, Z: 203.1280, W: 92.3459, walltime: 0.08 min
step: 1600, t: 0, cfl: 0.27, E: 18.7708, Z: 204.9531, W: 18.7211, walltime: 0.08 min
step: 1625, t: 0, cfl: 0.28, E: 18.9140, Z: 207.9695, W: 76.9832, walltime: 0.08 min
step: 1650, t: 0, cfl: 0.28, E: 18.8977, Z: 209.2579, W: 22.9882, walltime: 0.08 min
step: 1675, t: 0, cfl: 0.29, E: 18.9070, Z: 208.9309, W: -77.0841, walltime: 0.08 min
step: 1700, t: 0, cfl: 0.28, E: 18.8454, Z: 208.4315, W: -76.1429, walltime: 0.08 min
step: 1725, t: 0, cfl: 0.29, E: 18.8032, Z: 207.3318, W: -183.2215, walltime: 0.09 min
step: 1750, t: 0, cfl: 0.29, E: 18.7289, Z: 205.7781, W: -152.1074, walltime: 0.09 min
